n,rt_qs,c_qs
100,0,614
100,0,578
100,0,641
100,0,621
100,0,826
100,0,624
100,0,745
100,0,567
100,0,662
100,0,765
100,0,645
100,0,635
100,0,548
100,0,735
100,0,699
100,0,640
100,0,622
100,0,607
100,0,589
100,0,609
100,0,617
100,0,712
100,1,601
100,0,639
100,0,643
100,0,646
100,0,683
100,0,586
100,0,577
100,0,585
100,1,709
100,0,687
100,0,662
100,0,726
100,0,650
100,0,650
100,0,620
100,0,652
100,1,769
100,0,648
100,0,593
100,0,568
100,0,622
100,0,653
100,0,729
100,0,665
100,0,705
100,0,654
100,0,637
100,0,638
100,0,796
100,0,606
100,0,650
100,0,623
100,0,742
100,0,621
100,0,589
100,0,597
100,0,563
100,0,655
100,0,639
100,0,593
100,0,641
100,0,558
100,0,652
100,0,692
100,0,582
100,0,622
100,0,626
100,0,638
100,0,549
100,0,601
100,0,692
100,0,654
100,0,638
100,0,604
100,0,658
100,0,681
100,0,667
100,0,631
100,0,643
100,0,599
100,0,580
100,0,696
100,0,705
100,0,578
100,0,650
100,0,580
100,0,788
100,0,667
100,0,652
100,0,580
100,0,602
100,0,666
100,0,719
100,0,667
100,0,625
100,0,683
100,0,601
100,0,590
100,0,634
100,0,717
100,0,608
100,0,581
100,0,598
100,0,654
100,0,650
100,0,623
100,0,605
100,0,657
100,0,654
100,0,590
100,0,718
100,0,633
100,0,629
100,0,602
100,0,590
100,0,608
100,0,583
100,0,623
100,0,588
100,0,592
100,0,637
100,0,610
100,0,588
100,0,672
100,0,683
100,0,657
100,0,615
100,0,671
100,0,712
100,0,723
100,0,636
100,0,799
100,0,703
100,0,687
100,0,591
100,0,723
100,0,614
100,0,589
100,0,571
100,0,723
100,0,599
100,0,676
100,0,839
100,0,663
100,0,650
100,0,608
100,0,641
100,0,721
100,0,640
100,0,680
100,0,600
100,0,659
100,0,609
100,0,672
100,0,723
100,0,558
100,0,801
100,0,575
100,0,674
100,0,611
100,0,644
100,0,585
100,0,561
100,0,616
100,0,583
100,0,589
100,0,653
100,0,650
100,0,643
100,0,633
100,0,750
100,0,660
100,0,619
100,0,618
100,0,916
100,0,594
100,0,681
100,0,602
100,0,636
100,0,613
100,0,563
100,0,647
100,0,647
100,0,615
100,0,640
100,0,668
100,0,783
100,1,581
100,0,608
100,0,663
100,0,607
100,0,614
100,0,690
100,0,626
100,0,620
100,0,655
100,0,672
100,0,634
100,0,677
100,0,577
100,0,637
100,1,661
100,0,597
100,0,758
100,0,640
100,0,685
100,0,740
100,0,748
100,0,635
100,0,715
100,0,639
100,0,651
100,0,672
100,0,686
100,0,730
100,0,607
100,0,557
100,0,677
100,0,729
100,0,620
100,0,644
100,0,685
100,0,557
100,1,570
100,0,580
100,0,644
100,0,701
100,0,675
100,0,633
100,0,765
100,0,598
100,0,628
100,0,606
100,0,642
100,0,643
100,0,576
100,0,593
100,0,579
100,0,679
100,0,697
100,0,716
100,0,681
100,0,574
100,0,672
100,0,742
100,0,684
100,0,608
100,0,671
100,0,655
100,0,701
100,0,699
100,0,662
100,0,630
100,0,647
100,0,626
100,0,658
100,0,644
100,0,676
100,0,649
100,0,635
100,0,710
100,0,744
100,0,764
100,0,703
100,0,554
100,0,618
100,0,625
100,0,604
100,0,668
100,0,580
100,0,710
100,0,659
100,0,667
100,0,542
100,0,574
100,0,632
100,0,766
100,0,683
100,0,652
100,0,649
100,0,591
100,0,745
100,0,722
100,0,656
100,0,613
100,0,649
100,0,671
100,0,780
100,0,594
100,0,658
100,0,617
100,0,610
100,0,718
100,0,609
100,0,804
100,0,668
100,0,729
100,0,670
100,0,652
100,0,701
100,0,610
100,0,610
100,0,618
100,0,604
100,0,627
100,0,601
100,0,671
100,0,809
100,0,652
100,0,667
100,0,676
100,0,666
100,0,631
100,0,625
100,0,593
100,0,606
100,0,587
100,0,621
100,0,604
100,0,593
100,0,596
100,0,675
100,0,678
100,0,612
100,0,766
100,0,703
100,0,609
100,0,650
100,0,625
100,0,624
100,0,612
100,0,664
100,0,657
100,0,799
100,0,735
100,0,601
100,0,620
100,0,625
100,0,826
100,0,828
100,0,618
100,0,601
100,0,570
100,0,605
100,0,642
100,0,737
100,0,633
100,0,583
100,0,583
100,0,725
100,0,647
100,0,698
100,0,687
100,0,679
100,0,689
100,0,581
100,0,873
100,0,751
100,1,668
100,0,658
100,0,589
100,0,562
100,0,599
100,0,618
100,0,567
100,0,777
100,0,725
100,0,642
100,0,591
100,0,680
100,0,653
100,0,871
100,0,651
100,0,702
100,0,665
100,0,674
100,0,637
100,0,662
100,0,577
100,0,601
100,0,644
100,0,652
100,0,716
100,0,602
100,0,635
100,0,679
100,0,615
100,0,708
100,0,692
100,0,582
100,0,621
100,0,604
100,0,586
100,0,643
100,0,642
100,0,669
100,0,691
100,0,676
100,0,671
100,0,626
100,0,613
100,0,664
100,0,571
100,0,682
100,0,571
100,0,635
100,0,735
100,0,561
100,0,596
100,0,575
100,0,644
100,0,642
100,0,650
100,0,577
100,0,569
100,0,647
100,0,665
100,0,615
100,0,674
100,0,585
100,0,727
100,0,645
100,0,605
100,0,690
100,0,570
100,0,693
100,0,600
100,0,689
100,0,841
100,0,773
100,0,621
100,0,599
100,0,577
100,0,664
100,0,691
100,0,624
100,0,619
100,0,634
100,0,634
100,0,546
100,0,575
100,0,599
100,0,672
100,0,588
100,0,554
100,0,616
100,0,584
100,0,601
100,0,611
100,0,679
100,0,627
100,0,634
100,0,628
100,0,610
100,0,620
100,0,701
100,0,650
100,0,791
100,0,614
100,0,658
100,0,607
100,0,611
100,0,684
100,0,792
100,0,820
100,0,553
100,0,736
100,0,626
100,0,606
100,0,685
100,0,569
100,0,624
100,0,585
100,0,651
100,0,710
100,0,678
100,0,664
100,0,623
100,0,611
100,0,583
100,0,600
100,0,667
100,0,597
100,0,600
100,0,539
100,1,580
100,0,708
100,0,660
100,0,629
100,0,560
100,0,605
100,0,597
100,0,703
100,0,588
100,0,591
100,0,637
100,0,639
100,0,639
100,0,660
100,0,606
100,0,616
100,0,603
100,0,611
100,0,655
100,0,653
100,0,596
100,0,658
100,0,642
100,0,616
100,0,618
100,0,571
100,0,656
100,0,711
100,0,636
100,0,662
100,0,679
100,0,690
100,0,766
100,0,708
100,0,621
100,1,575
100,0,589
100,0,594
100,0,568
100,0,671
100,0,617
100,0,650
100,0,680
100,0,620
100,0,705
100,0,663
100,0,580
100,0,641
100,0,613
100,0,600
100,0,776
100,0,665
100,0,609
100,0,681
100,0,561
100,0,819
100,0,622
100,0,603
100,0,844
100,0,651
100,0,578
100,0,768
100,0,677
100,0,623
100,0,616
100,0,660
100,0,604
100,0,537
100,0,598
100,0,682
100,0,635
100,0,622
100,0,591
100,0,665
100,0,614
100,0,699
100,0,649
100,0,668
100,0,634
100,0,608
100,0,816
100,0,548
100,0,791
100,0,641
100,0,651
100,0,629
100,0,633
100,0,599
100,0,569
100,0,732
100,0,596
100,0,674
100,0,733
100,0,633
100,0,763
100,1,712
100,0,640
100,0,667
100,0,636
100,0,640
100,0,571
100,0,724
100,0,619
100,0,678
100,0,617
100,0,542
100,0,696
100,0,662
100,0,567
100,0,659
100,0,686
100,0,591
100,0,751
100,0,657
100,0,749
100,0,632
100,0,661
100,0,647
100,0,601
100,0,633
100,0,620
100,0,548
100,0,606
100,0,754
100,0,625
100,0,681
100,0,640
100,0,610
100,0,658
100,0,716
100,0,621
100,0,779
100,0,762
100,0,677
100,0,654
100,0,718
100,0,738
100,0,601
100,0,597
100,0,623
100,0,623
100,0,664
100,0,654
100,0,694
100,0,631
100,0,697
100,0,603
100,0,623
100,0,552
100,0,712
100,0,625
100,0,594
100,0,600
100,0,555
100,0,569
100,0,689
100,0,565
100,0,780
100,0,695
100,0,655
100,0,586
100,0,677
100,0,625
100,0,663
100,0,570
100,0,614
100,0,663
100,0,662
100,0,621
100,0,783
100,0,593
100,0,640
100,0,798
100,0,590
100,0,740
100,0,646
100,0,635
100,0,597
100,0,728
100,0,613
100,0,606
100,0,658
100,0,604
100,0,574
100,0,633
100,0,582
100,0,574
100,0,688
100,0,625
100,0,638
100,0,591
100,0,633
100,0,723
100,0,637
100,0,824
100,0,578
100,0,608
100,0,678
100,0,672
100,0,642
100,0,597
100,0,692
100,0,549
100,0,800
100,0,643
100,0,666
100,0,671
100,1,667
100,0,559
100,0,682
100,0,737
100,0,657
100,0,577
100,0,724
100,0,762
100,0,585
100,0,663
100,0,636
100,0,626
100,0,551
100,0,692
100,0,663
100,0,681
100,0,679
100,0,628
100,0,624
100,0,723
100,0,696
100,0,707
100,0,645
100,0,819
100,0,648
100,0,590
100,0,627
100,0,733
100,0,636
100,0,699
100,0,651
100,0,662
100,0,698
100,0,605
100,0,653
100,0,655
100,0,671
100,0,793
100,0,780
100,0,636
100,0,641
100,0,717
100,0,755
100,0,580
100,0,605
100,0,711
100,0,705
100,0,604
100,0,668
100,0,622
100,0,589
100,0,662
100,0,629
100,0,595
100,0,632
100,0,762
100,0,623
100,0,755
100,0,606
100,0,631
100,0,592
100,0,725
100,0,681
100,0,629
100,0,700
100,0,627
100,0,593
100,0,613
100,0,563
100,0,687
100,0,642
100,0,621
100,0,664
100,0,633
100,0,581
100,0,639
100,0,694
100,0,535
100,0,626
100,0,721
100,0,659
100,0,716
100,0,663
100,0,676
100,0,556
100,0,694
100,0,623
100,0,560
100,1,706
100,0,734
100,0,730
100,0,669
100,0,585
100,0,648
100,0,638
100,0,671
100,0,681
100,0,638
100,0,606
100,0,725
100,0,749
100,0,679
100,0,679
100,0,587
100,0,603
100,0,570
100,0,597
100,0,647
100,0,720
100,0,655
100,0,594
100,0,663
100,0,648
100,0,601
100,0,624
100,0,591
100,0,657
100,0,688
100,0,676
100,0,651
100,0,627
100,0,616
100,0,658
100,0,614
100,0,629
100,0,618
100,0,640
100,0,750
100,0,646
100,0,638
100,0,739
100,0,652
100,0,645
100,0,596
100,0,659
100,0,704
100,0,662
100,0,617
100,0,672
100,0,663
100,0,747
100,0,686
100,0,626
100,0,672
100,0,657
100,0,592
100,0,592
100,0,653
100,0,673
100,0,600
100,0,651
100,0,677
100,0,583
100,0,618
100,0,705
100,0,614
100,0,695
100,0,543
100,0,592
100,0,675
100,0,639
100,0,626
100,0,584
100,0,601
100,0,654
100,0,567
100,0,686
100,0,614
100,0,582
100,0,641
100,0,685
100,0,574
100,0,568
100,0,584
100,0,577
100,0,791
100,0,588
100,0,615
100,0,783
100,0,590
100,0,594
100,0,607
100,0,654
100,0,671
100,1,699
100,0,574
100,0,659
100,0,652
100,0,619
100,0,581
100,0,622
100,0,781
100,0,605
100,0,686
100,0,730
100,0,637
100,0,579
100,0,672
100,0,603
100,0,530
100,0,601
100,0,716
100,0,640
100,0,687
100,0,641
100,0,625
100,0,588
100,0,701
100,0,583
100,0,609
100,0,624
100,0,683
100,0,729
100,0,601
100,0,649
100,0,626
100,0,677
100,0,642
100,0,847
100,0,629
100,0,701
100,0,713
100,0,557
100,0,706
100,0,693
100,0,713
100,0,632
100,0,656
100,0,645
100,0,640
100,0,627
100,0,649
100,0,693
100,0,600
100,0,608
100,0,590
100,0,606
100,0,610
100,0,638
100,1,699
100,0,606
100,0,603
100,0,639
100,0,665
100,0,744
100,0,580
100,0,623
100,0,621
100,0,694
100,0,647
100,0,611
100,0,740
100,0,589
100,0,774
100,0,742
100,0,800
100,0,735
100,0,615
100,0,639
100,0,600
100,0,634
100,0,695
100,0,569
100,0,581
100,0,600
100,0,719
100,0,694
100,0,708
100,0,566
100,0,647
100,0,702
100,0,672
100,0,580
100,0,703
100,0,659
100,0,616
100,0,634
100,0,598
100,0,647
100,0,732
100,0,670
100,0,678
100,0,671
100,0,632
100,0,721
100,0,600
100,0,695
100,0,678
100,0,577
100,0,716
100,0,656
100,0,634
100,0,662
100,0,583
100,0,714
100,0,586
100,0,635
100,0,558
100,0,549
100,0,691
100,0,615
100,0,643
100,0,601
100,0,562
100,0,630
100,0,694
100,0,735
100,0,626
100,0,578
100,0,611
100,0,620
100,0,527
100,0,568
100,0,703
100,0,658
100,0,635
100,0,702
100,0,585
100,0,664
100,0,567
100,0,588
100,0,617
100,0,582
100,0,721
100,0,647
100,0,623
100,0,782
100,0,778
100,0,609
100,0,592
100,0,624
100,0,713
100,0,643
100,0,611
100,0,786
100,0,618
100,0,606
100,0,578
100,0,629
100,0,543
100,0,593
100,0,610
100,0,718
100,0,710
100,0,641
100,0,553
100,0,640
100,0,700
100,0,598
100,0,607
100,0,637
100,0,637
100,0,722
100,0,642
100,0,639
100,0,742
100,0,885
100,0,680
100,0,587
100,0,606
100,0,760
100,0,664
100,0,630
100,0,647
100,0,622
100,0,679
100,0,788
100,0,617
100,0,671
100,1,592
100,0,753
100,0,634
100,0,661
100,0,667
100,0,649
100,0,625
100,0,581
100,0,672
100,0,645
100,0,613
100,0,637
100,0,656
100,0,695
100,0,730
100,0,595
100,0,560
100,0,670
100,0,661
100,0,676
100,0,646
100,0,826
100,0,677
100,0,573
100,0,662
100,0,687
100,1,630
100,0,678
100,0,627
100,0,604
100,0,692
100,0,706
100,0,670
100,0,635
100,0,631
100,0,639
100,0,737
100,0,675
100,0,588
100,0,636
100,0,582
100,0,697
100,0,730
100,0,776
100,0,612
100,0,661
100,0,655
100,0,668
100,0,615
100,0,621
100,0,694
100,0,579
100,0,616
100,0,595
100,0,717
100,0,665
100,0,598
100,0,616
100,0,601
100,0,687
100,0,689
100,0,608
100,0,724
100,1,626
100,0,627
100,0,614
100,0,675
100,0,643
100,0,705
100,0,772
100,0,634
100,0,588
100,0,662
100,0,615
100,0,605
100,0,585
100,0,686
100,0,734
100,0,631
100,0,687
100,0,626
100,0,646
100,0,631
100,0,673
100,0,708
100,0,678
100,0,648
100,0,668
100,0,575
100,0,631
100,0,648
100,0,695
100,0,644
100,0,607
100,0,620
100,0,731
100,0,627
100,0,586
100,0,662
100,0,596
100,0,534
100,0,642
100,0,647
100,0,588
100,0,765
100,0,640
100,0,622
100,0,685
100,0,846
100,0,757
100,0,708
100,0,733
100,0,578
100,0,719
100,0,617
100,0,566
100,0,638
100,0,614
100,0,557
100,0,576
